Time,P_grid,P_sell,P_ch,P_dis,P_demand,E,R_ch,R_dis,SOH,Q_loss,N_cycle,u_grid,u_sell,u_ch,u_dis,Q_loss_cyc,FEC,DOD,P_shift_up_1,u_shift_up_1,P_shift_up_2,u_shift_up_2,P_shift_up_3,u_shift_up_3,P_shift_up_4,u_shift_up_4,P_shift_up_5,u_shift_up_5,P_shift_up_6,u_shift_up_6,P_shift_up_7,u_shift_up_7,P_shift_up_8,u_shift_up_8
46,0.59148799,0.0,0.0,0.2,0.7,2.0789474,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
47,0.79268354,0.0,0.0,0.2,0.7,1.8684211,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
48,0.79314595,0.0,0.0,0.2,0.7,1.6578947,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
49,0.65160755,0.0,0.0,0.2,0.7,1.4473684,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
50,1.082656,0.0,0.0,0.2,0.7,1.2368421,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
51,1.0449836,0.0,0.0,0.2,0.7,1.0263158,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
52,0.81245751,0.0,0.0,0.2,0.7,0.81578947,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
53,0.90256622,0.0,0.0,0.2,0.7,0.60526316,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
54,0.63715053,0.0,0.0,0.2,0.7,0.39473684,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
55,0.88160482,0.0,0.0,0.2,0.7,0.18421053,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
56,1.1824607,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
57,7.0068702,0.0,0.0,0.0,3.9,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,0.0,0.0,0.2,1.0,0.5,1.0
58,7.3451553,0.0,0.0,0.0,3.9,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,0.0,0.0,0.2,1.0,0.5,1.0
59,0.88649436,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
60,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
61,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
62,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
63,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
64,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
